	0	1	2
0	212.000	217.000	208.000
1	116.000	138.000	100.000
2	-41.000	-54.000	-31.000
3	14.000	18.000	11.000
4	-4.000	-11.000	1.000
5	-4.000	8.000	-12.000
6	71.000	82.000	63.000
7	1.000	0.180	1.580
8	100.000	100.000	100.000
9	1.510	1.180	1.750
10	75.000	68.000	80.000
11	2.500	3.140	2.040
