TIMESTAMP	r	R	rmse	pbias
2016-09-06			0.00	2.62
2016-10-25	0.61	0.37	0.21	-0.69
2016-12-26	0.80	0.64	0.42	-0.74
2017-01-23	0.86	0.74	0.46	-0.60
2017-02-22	0.92	0.85	0.46	-2.24
2017-03-20	0.93	0.86	0.49	-4.99
2017-04-26	0.93	0.87	0.64	-7.26
2017-05-30	0.96	0.92	0.63	-6.94
2017-06-15	0.96	0.93	0.56	-5.26
2017-07-19	0.96	0.92	0.44	0.56
2017-08-29	0.97	0.93	0.80	7.72
